name,desc,type, bw ,mw,pl,ms,md,water,,,,,,,,,,,,,,,,,
T8-4B,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.35,0.96,,,,,,,,,,,,,,,,,
T8-4C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.40,0.96,,,,,,,,,,,,,,,,,
T8-4D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.35,0.96,,,,,,,,,,,,,,,,,
T8-5C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.36,0.96,,,,,,,,,,,,,,,,,
T8-5D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.37,0.96,,,,,,,,,,,,,,,,,
T8-6C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.30,0.96,,,,,,,,,,,,,,,,,
T8-6D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.34,0.96,,,,,,,,,,,,,,,,,
T5-1,SFL,As-Built,0.33,0.16,0.19,0.39,0.18,0.96,,,,,,,,,,,,,,,,,
Channel Area South,ENV,As-Built,0.24,0.06,0.00,0.06,0.00,1.00,,,,,,,,,,,,,,,,,
Channel Area North,ENV,As-Built,0.16,0.06,0.00,0.07,0.00,1.00,,,,,,,,,,,,,,,,,
T23-5,DWM_DecApr,As-Built,0.00,0.03,0.14,0.29,0.00,1.03,,,,,,,,,,,,,,,,,
T29-3,Brine,As-Built,0.00,0.14,0.04,0.37,0.00,1.03,,,,,,,,,,,,,,,,,
T4-3 Addition,SFL,As-Built,0.00,0.02,0.37,0.40,0.00,1.04,,,,,,,,,,,,,,,,,
T7-4A,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.44,1.04,,,,,,,,,,,,,,,,,
T7-4C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.39,1.04,,,,,,,,,,,,,,,,,
T7-4D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.44,1.04,,,,,,,,,,,,,,,,,
T7-5A,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.34,1.04,,,,,,,,,,,,,,,,,
T7-5B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.32,1.04,,,,,,,,,,,,,,,,,
T7-5C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.46,1.04,,,,,,,,,,,,,,,,,
T7-5D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.37,1.04,,,,,,,,,,,,,,,,,
T7-6A,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.33,1.04,,,,,,,,,,,,,,,,,
T7-6B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.34,1.04,,,,,,,,,,,,,,,,,
T7-6C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.36,1.04,,,,,,,,,,,,,,,,,
T7-6D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.35,1.04,,,,,,,,,,,,,,,,,
T7-7A,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.35,1.04,,,,,,,,,,,,,,,,,
T7-7B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.36,1.04,,,,,,,,,,,,,,,,,
T7-7C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.31,1.04,,,,,,,,,,,,,,,,,
T7-7D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.33,1.04,,,,,,,,,,,,,,,,,
T5-3 Addition, DWM_JanApr ,As-Built,0.00,0.04,0.13,0.30,0.00,1.06,,,,,,,,,,,,,,,,,
T5-3B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.45,1.09,,,,,,,,,,,,,,,,,
T5-3C,Veg 08,As-Built,0.21,0.05,0.04,0.25,0.32,1.09,,,,,,,,,,,,,,,,,
T5-4B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.42,1.09,,,,,,,,,,,,,,,,,
T5-4C,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.35,1.09,,,,,,,,,,,,,,,,,
T5-4D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.52,1.09,,,,,,,,,,,,,,,,,
T5-5A,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.35,1.09,,,,,,,,,,,,,,,,,
T5-5D,Veg 08,As-Built,0.22,0.05,0.04,0.25,0.20,1.09,,,,,,,,,,,,,,,,,
T5-6A,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.31,1.09,,,,,,,,,,,,,,,,,
T5-6B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.45,1.09,,,,,,,,,,,,,,,,,
T5-6C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.44,1.09,,,,,,,,,,,,,,,,,
T5-6D,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.36,1.09,,,,,,,,,,,,,,,,,
