MP Name,StdPolygon,BACM_Type,AirSci Acres,AirSci Acres Sum,Phase,BACM_Typ_1,Cent_N,Cent_E,MP Acres
 T1A-2 ,T1A-2,99% Efficiency Wetting Basins (2008),1.19519,700.47949,7A,Shallow Flooding,4021507.439,409804.8598,701
 T1A-2 ,T1A-2,99% Efficiency Wetting Basins (2008),32.8515,700.47949,7A,Sprinkler Shallow Flooding,4022996.45,408957.5661,701
 T1A-2 ,T1A-2,Managed Vegetation,193.801,700.47949,7A,Managed Vegetation,4022001.739,409482.9623,701
 T1A-3 ,T1A-3,Gravel,302.543,506.1569,7A,Gravel,4023535.18,411286.9843,506.2
 T1A-3 ,T1A-3,Gravel,161.843,506.1569,7B,Gravel,4023867.952,411028.6788,506.2
 T1A-3 ,T1A-3,Gravel,41.7709,506.1569,7A,Gravel,4024142.484,410624.2177,506.2
 T1A-4 ,T1A-4,99% Efficiency Wetting Basins (2008),615.099,615.099,7A,Sprinkler Shallow Flooding,4025010.554,412940.0611,615.1
 T20 ,T20,No DCM,138.453,138.453,9,Gravel,4031282.456,422370.8495,138.5
 T2-1 ,T2-1,99% Efficiency Wetting Basins (2003),332.788,332.788,5,Shallow Flooding,4019764.238,410565.6187,332.6
 T2-1 Addition ,T2-1 Addition,99% Efficiency Wetting Basins (2003),183.354,183.354,7,Shallow Flooding,4019576.65,409708.1381,183.4
 T21-1 ,T21-1,No DCM,103.825,103.825,10,Gravel,4033514.16,421776.9715,103.8
T21-2,T21-2,No DCM,55.5791,55.5791,10,Gravel,4031881.714,421584.7309,55.6
 T2-1b ,T2-1b,No DCM,50.1712,50.1712,9,Managed Vegetation,4019330.03,409163.5444,50.2
 T2-1c ,T2-1c,No DCM,101.265,101.265,9,Managed Vegetation,4018458.559,410224.6637,110.4
 T21E ,T21E,99% Efficiency Wetting Basins (2008),273.219,273.219,7,Shallow Flooding,4032570.902,422307.1297,275.4
 T21W ,T21W,99% Efficiency Wetting Basins (2008),43.5593,43.5593,7,Shallow Flooding,4032861.152,421793.0417,43.2
 T22 ,T22,No DCM,366.031,366.031,9,Gravel,4032867.732,420992.3172,366
 T2-2 ,T2-2,99% Efficiency Wetting Basins (2003),118.69,133.0247,5,Shallow Flooding,4021035.333,410713.7567,133.3
 T2-2 ,T2-2,Tillage With BACM Backup,14.3347,133.0247,5,Tillage With BACM Backup,4020449.468,410180.2016,133.3
 T2-3 ,T2-3,Tillage With BACM Backup,74.7585,74.7585,5,Tillage With BACM Backup,4021838.523,411380.3988,74.7
 T23-5 ,T23-5,Wetting Basins with Reduced Compliance Efficiency,193.581,193.581,7,Shallow Flooding,4033830.756,418859.7866,199.2
 T23NE ,T23NE,99% Efficiency Wetting Basins (2003),74.295,251.3601,1,Brine,4035861.211,421965.6887,251.4
 T23NE ,T23NE,99% Efficiency Wetting Basins (2003),102.444,251.3601,1,Shallow Flooding,4035401.026,421056.7304,251.4
